[2019-08-08T06:05:31.648Z] [ip]: ::ffff:192.168.1.12 - [method]: GET [url]: /api/v1 HTTP/1.1 [status]: 404 [response-time]: 2.688 ms [client]: Mozilla/5.0 (Linux; Android 9; Redmi Note 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36
[2019-08-08T06:07:04.876Z] [ip]: ::ffff:192.168.1.12 - [method]: GET [url]: /api/v1 HTTP/1.1 [status]: 404 [response-time]: 0.253 ms [client]: Mozilla/5.0 (Linux; Android 9; Redmi Note 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36
[2019-08-08T06:07:06.524Z] [ip]: ::ffff:192.168.1.12 - [method]: GET [url]: /api/v1 HTTP/1.1 [status]: 404 [response-time]: 0.194 ms [client]: Mozilla/5.0 (Linux; Android 9; Redmi Note 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36
[2019-08-08T06:08:45.109Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 2.953 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-08T06:08:45.112Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 200 [response-time]: 0.903 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-08T06:08:45.171Z] [ip]: ::ffff:192.168.1.9 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 44.289 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-08T06:08:45.179Z] [ip]: ::ffff:192.168.1.9 - [method]: GET [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 304 [response-time]: 48.163 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-08T06:09:22.608Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 0.125 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-08T06:09:22.610Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 200 [response-time]: 0.098 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-08T06:09:22.641Z] [ip]: ::ffff:192.168.1.9 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 2.057 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-08T06:09:22.645Z] [ip]: ::ffff:192.168.1.9 - [method]: GET [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 304 [response-time]: 6.190 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
