[13: 06: 23] [ip]: ::1 - [method]: GET [url]: /api/v1/trader/get_order HTTP/1.1 [status]: 200 [response-time]: 28.386 ms [client]: PostmanRuntime/7.15.0
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.987 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 11.454 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%A0%E0%B8%B2%E0%B8%9E HTTP/1.1 [status]: 404 [response-time]: 1.217 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/image/product_9.png HTTP/1.1 [status]: 404 [response-time]: 0.232 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_14.png HTTP/1.1 [status]: 200 [response-time]: 98.934 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_10.png HTTP/1.1 [status]: 200 [response-time]: 135.502 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_11.png HTTP/1.1 [status]: 200 [response-time]: 156.203 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_13.png HTTP/1.1 [status]: 200 [response-time]: 172.940 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 0.594 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 116.362 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.204 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 2.453 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%A0%E0%B8%B2%E0%B8%9E HTTP/1.1 [status]: 404 [response-time]: 0.784 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/image/product_9.png HTTP/1.1 [status]: 404 [response-time]: 0.145 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_11.png HTTP/1.1 [status]: 304 [response-time]: 2.942 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_10.png HTTP/1.1 [status]: 304 [response-time]: 4.438 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_14.png HTTP/1.1 [status]: 304 [response-time]: 5.297 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_13.png HTTP/1.1 [status]: 304 [response-time]: 11.081 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/trader/get_order HTTP/1.1 [status]: 200 [response-time]: 0.137 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/trader/get_order HTTP/1.1 [status]: 200 [response-time]: 1.195 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/trader/get_order HTTP/1.1 [status]: 200 [response-time]: 0.160 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
[13: 06: 23] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/trader/get_order HTTP/1.1 [status]: 304 [response-time]: 0.884 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36
