[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/api/v1/product/show_product HTTP/1.1 [status]: 404 [response-time]: 2.706 ms [client]: PostmanRuntime/7.15.0
[07: 22: 19] [ip]: ::1 - [method]: POST [url]: /api/v1/product/show_product_info HTTP/1.1 [status]: 200 [response-time]: 5.636 ms [client]: PostmanRuntime/7.15.0
[07: 22: 19] [ip]: ::1 - [method]: POST [url]: /api/v1/product/update_product_info HTTP/1.1 [status]: 200 [response-time]: 9.830 ms [client]: PostmanRuntime/7.15.0
[07: 22: 19] [ip]: ::1 - [method]: GET [url]: /product/show_product HTTP/1.1 [status]: 404 [response-time]: 0.344 ms [client]: PostmanRuntime/7.15.0
[07: 22: 19] [ip]: ::1 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 5.275 ms [client]: PostmanRuntime/7.15.0
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 0.860 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 119.916 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.364 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 1.696 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 0.325 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 4.998 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.219 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 0.823 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product_info HTTP/1.1 [status]: 200 [response-time]: 0.203 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: POST [url]: /api/v1/product/show_product_info HTTP/1.1 [status]: 200 [response-time]: 0.843 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.213 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 0.727 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.176 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 10.818 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.278 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 1.322 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.240 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 0.913 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.170 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 1.892 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 0.231 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: POST [url]: /api/v1/user/user_login HTTP/1.1 [status]: 200 [response-time]: 92.451 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.182 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 0.865 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 0.713 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 0.248 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 1.205 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 0.185 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 0.886 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.189 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 0.796 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product_info HTTP/1.1 [status]: 200 [response-time]: 0.219 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: POST [url]: /api/v1/product/show_product_info HTTP/1.1 [status]: 200 [response-time]: 0.916 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product HTTP/1.1 [status]: 200 [response-time]: 0.241 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/product/show_product HTTP/1.1 [status]: 304 [response-time]: 0.676 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/product/show_product_info HTTP/1.1 [status]: 200 [response-time]: 0.205 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: POST [url]: /api/v1/product/show_product_info HTTP/1.1 [status]: 200 [response-time]: 0.798 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 0.245 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 1.010 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 1.938 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 0.424 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
[07: 22: 19] [ip]: ::ffff:192.168.0.109 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 1.104 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36
