[2019-09-26T07:35:14.052Z] [ip]: ::1 - [method]: GET [url]: /api/v1/show HTTP/1.1 [status]: 200 [response-time]: 42.725 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-09-26T07:35:14.118Z] [ip]: ::1 - [method]: GET [url]: /favicon.ico HTTP/1.1 [status]: 404 [response-time]: 1.484 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-09-26T07:35:40.316Z] [ip]: ::1 - [method]: GET [url]: /api/v1/show HTTP/1.1 [status]: 304 [response-time]: 7.069 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-09-26T07:38:38.337Z] [ip]: ::1 - [method]: GET [url]: / HTTP/1.1 [status]: 500 [response-time]: 3.397 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-09-26T07:39:40.591Z] [ip]: ::1 - [method]: GET [url]: / HTTP/1.1 [status]: 500 [response-time]: 0.384 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-09-26T07:39:44.132Z] [ip]: ::1 - [method]: GET [url]: / HTTP/1.1 [status]: 500 [response-time]: 0.274 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-09-26T07:40:16.381Z] [ip]: ::1 - [method]: GET [url]: / HTTP/1.1 [status]: 500 [response-time]: 5.732 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-09-26T07:40:24.167Z] [ip]: ::1 - [method]: GET [url]: / HTTP/1.1 [status]: 500 [response-time]: 3.712 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-09-26T07:41:52.879Z] [ip]: ::1 - [method]: GET [url]: / HTTP/1.1 [status]: 500 [response-time]: 3.198 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-09-26T07:42:29.974Z] [ip]: ::1 - [method]: GET [url]: / HTTP/1.1 [status]: 500 [response-time]: 2.956 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-09-26T07:42:34.268Z] [ip]: ::1 - [method]: GET [url]: / HTTP/1.1 [status]: 500 [response-time]: 0.368 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
